name,age,gender,residence,income,education_level,yearly_energy_consumption_kWh,political_preferences
Jana Nováková,34,žena,Brno,35000,vysokoškolské,3500,ANO
Petr Dvořák,47,muž,Ostrava,28000,vyšší odborné,4500,ODS
Martina Horáková,29,žena,Plzeň,32000,středoškolské s maturitou,3000,Piráti
Lukáš Svoboda,52,muž,Liberec,41000,vysokoškolské,6000,SPD
Karolína Vlková,38,žena,České Budějovice,31000,vysokoškolské,4200,ČSSD
Jiří Novák,34,muž,Brno,38000,středoškolské s maturitou,3700,ANO
Petr Dvořák,47,muž,Ostrava,46000,vyšší odborné,5000,ODS
Eva Horáková,29,žena,Plzeň,33500,středoškolské s maturitou,3400,Piráti
Martina Svobodová,53,žena,Hradec Králové,29000,vysokoškolské,4600,TOP 09
Tomáš Černý,39,muž,České Budějovice,42000,vysokoškolské,4200,SPD
Lenka Nováková,34,žena,Brno,38000,vysokoškolské,3300,ANO
Petr Vlček,47,muž,Ostrava,32000,středoškolské bez maturity,4800,ČSSD
Eva Dvořáková,26,žena,Praha,45000,vysokoškolské,2500,Piráti
Jana Šimková,52,žena,Plzeň,36000,vyšší odborné,3500,ODS
Martin Kříž,30,muž,Ústí nad Labem,28000,středoškolské s maturitou,2900,SPD
Lucie Novotná,34,žena,Brno,38000,vysokoškolské,3200,ANO
Petr Novák,45,muž,Ostrava,32000,středoškolské bez maturity,4000,ČSSD
Eva Dvořáková,37,žena,Liberec,34000,vysokoškolské,3050,Piráti
Jan Svoboda,52,muž,Plzeň,41000,středoškolské s maturitou,3750,ODS
Martina Kopecká,29,žena,Hradec Králové,28000,vysokoškolské,2500,TOP 09
Lukáš Hrubý,34,muž,Brno,36000,vysokoškolské,3200,ANO
Petr Novák,46,muž,Ostrava,37500,středoškolské bez maturity,4050,SPD
Eva Dvořáková,38,žena,Praha,45000,vysokoškolské,2900,Piráti
Jana Černá,52,žena,České Budějovice,32000,středoškolské s maturitou,4000,ČSSD
Milan Svoboda,29,muž,Plzeň,28000,vyšší odborné,3500,ODS
Tomáš Kovařík,65,muž,Brno,33000,středoškolské bez maturity,4600,ANO
Petr Novák,47,muž,Ostrava,38000,vysokoškolské,4200,TOP 09
Eva Dvořáková,34,žena,Pardubice,29000,středoškolské s maturitou,3000,Piráti
Jana Horáková,52,žena,České Budějovice,31000,vysokoškolské,3700,ČSSD
Martin Svoboda,29,muž,Liberec,27000,středoškolské s maturitou,2800,ODS
Lucie Křížová,36,žena,Brno,33000,vysokoškolské,3450,ANO
Pavel Novák,45,muž,Ostrava,37000,vyšší odborné,4000,SPD
Eva Dvořáková,33,žena,Plzeň,29500,středoškolské s maturitou,3200,Piráti
Jana Horáková,52,žena,Ústí nad Labem,28000,středoškolské bez maturity,2900,ČSSD
Martin Svoboda,29,muž,Hradec Králové,31000,vysokoškolské,3650,ODS
Miroslav Černý,38,muž,Brno,40500,vysokoškolské,3800,ANO
Lenka Nováková,47,žena,Ostrava,27000,středoškolské s maturitou,3550,SPD
Petr Vacek,34,muž,Plzeň,33000,vyšší odborné,3400,Piráti
Eva Dvořáková,52,žena,České Budějovice,29000,středoškolské bez maturity,4200,ČSSD
Jana Horáková,29,žena,Liberec,28000,vysokoškolské,2680,TOP 09
Milan Kratochvíl,65,muž,Hradec Králové,36000,středoškolské s maturitou,3800,ANO 2011
Lucie Svobodová,38,žena,Ostrava,32000,vysokoškolské,3100,ODS
Petr Novák,47,muž,Brno,42000,vysokoškolské,4500,Piráti
Eva Dvořáková,54,žena,České Budějovice,34000,vyšší odborné,4200,ČSSD
Jan Horák,29,muž,Plzeň,28000,středoškolské bez maturity,2600,SPD
Martina Krausová,33,žena,Hradec Králové,30000,vysokoškolské,3600,ANO
Milan Svoboda,41,muž,Ostrava,38000,vysokoškolské,3900,ODS
Pavlína Novotná,47,žena,Brno,42000,vysokoškolské,4800,Piráti
Tomáš Dvořák,54,muž,České Budějovice,34000,středoškolské s maturitou,4300,ČSSD
Eva Horáková,29,žena,Pardubice,28000,vyšší odborné,2500,TOP 09
Jiří Novák,35,muž,Liberec,45000,vysokoškolské,3600,ANO
Martina Svobodová,41,žena,Ostrava,38000,středoškolské bez maturity,4000,SPD
Petr Jelínek,67,muž,Brno,32000,středoškolské s maturitou,2900,ODS
Lucie Dvořáková,24,žena,Plzeň,25000,vysokoškolské,2200,Piráti
Tomáš Král,53,muž,České Budějovice,42000,vysokoškolské,3400,TOP 09
Eva Nováková,35,žena,Liberec,33000,středoškolské bez maturity,3000,ANO
Karel Havel,44,muž,Ostrava,38000,vyučen,4500,ČSSD
Jana Novotná,31,žena,Brno,29000,vysokoškolské,2800,ODS
Petr Válek,28,muž,Plzeň,26000,středoškolské s maturitou,3200,Piráti
Lucie Králová,52,žena,Pardubice,42000,vysokoškolské,3700,TOP 09
Eva Dvořáková,39,žena,České Budějovice,34000,vysokoškolské,4000,ANO
Martin Kopečný,45,muž,Ostrava,38000,vysokoškolské,4500,SPD
Jana Novotná,33,žena,Brno,31000,středoškolské s maturitou,3500,ČSSD
Petr Novák,28,muž,Praha,39000,vysokoškolské,3000,Piráti
Lucie Svobodová,52,žena,Plzeň,28000,vyšší odborné,3800,ODS
David Horák,37,muž,Liberec,34000,středoškolské bez maturity,4200,ANO
