name,age,gender,residence,income,education_level,yearly_energy_consumption_kWh,political_preferences
Jan Novák,42,muž,Brno,72000,vysokoškolské,3500,ANO
Eva Dvořáková,18,žena,Ostrava,28000,středoškolské s maturitou,2900,ČSSD
Lucie Štěpánková,29,žena,Plzeň,25000,vyšší odborné,2400,Piráti
Petr Kříž,54,muž,Liberec,36000,středoškolské bez maturity,4200,ODS
Marek Svoboda,47,muž,Pardubice,33000,vysokoškolské,3100,TOP 09
Jana Nováková,32,žena,Brno,27000,vysokoškolské,2500,ANO
Eva Dvořáková,36,žena,Ostrava,29000,středoškolské s maturitou,3900,ČSSD
Tomáš Horák,29,muž,Plzeň,28000,vyšší odborné,3300,Piráti
Lenka Benešová,54,žena,Liberec,35000,středoškolské s maturitou,4200,ODS
Marek Svoboda,47,muž,Hradec Králové,40000,středoškolské s maturitou,3600,TOP 09
Jan Novák,32,muž,Brno,33000,středoškolské s maturitou,2800,ANO
Petr Václavík,39,muž,Ostrava,37000,středoškolské s maturitou,4000,ČSSD
Eva Dvořáková,28,žena,Praha,45000,vysokoškolské,2500,Piráti
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Lucie Horáková,47,žena,Liberec,32000,vyšší odborné,3650,TOP 09
Martina Novotná,33,žena,Brno,38000,vysokoškolské,3300,ANO
Jiří Novák,39,muž,Ostrava,28000,středoškolské s maturitou,4000,ČSSD
Petr Válek,28,muž,Praha,75000,vysokoškolské,2800,Piráti
Eva Dvořáková,52,žena,Plzeň,35000,vysokoškolské,3200,ODS
Lucie Králová,47,žena,Liberec,32000,středoškolské s maturitou,3500,TOP 09
Marek Šimek,34,muž,Brno,30000,vyšší odborné,3600,ANO
Jana Novotná,65,žena,Ostrava,22000,základní,2100,SPD
Tomáš Pospíšil,38,muž,Ústí nad Labem,28000,středoškolské bez maturity,2800,Piráti
Eva Dvořáková,52,žena,Plzeň,35000,vysokoškolské,4300,ODS
Petr Novák,48,muž,Praha,72000,středoškolské s maturitou,5000,TOP 09
Lenka Křivánková,34,žena,Brno,31000,středoškolské s maturitou,2500,ANO
Jana Svobodová,45,žena,Ostrava,37000,středoškolské s maturitou,3600,ČSSD
Martin Horák,30,muž,Liberec,28000,vyšší odborné,2900,Piráti
Eva Dvořáková,52,žena,Plzeň,33000,vysokoškolské,4300,ODS
Petr Novák,38,muž,Praha,42000,vysokoškolské,3400,TOP 09
Lucie Křížová,26,žena,Brno,29000,středoškolské bez maturity,2500,ANO
Jana Svobodová,45,žena,Ostrava,31000,vyšší odborné,3600,SPD
Martin Horák,34,muž,Liberec,38000,vysokoškolské,3200,Piráti
Veronika Dvořáková,52,žena,Plzeň,33000,středoškolské s maturitou,4000,ČSSD
Jan Novák,38,muž,Praha,42000,středoškolské s maturitou,2800,ODS
Lucie Krejčí,29,žena,Brno,28000,středoškolské s maturitou,2500,ANO
Petr Svoboda,47,muž,Ostrava,36000,vyšší odborné,3500,SPD
Jana Horáková,34,žena,Liberec,31000,středoškolské s maturitou,2700,Piráti
Martina Vávrová,52,žena,Plzeň,45000,vysokoškolské,3200,ČSSD
Milan Novák,38,muž,České Budějovice,33000,středoškolské bez maturity,2900,ODS
Eva Dvořáková,29,žena,Brno,28000,vysokoškolské,2200,ANO
Václav Král,46,muž,Ostrava,38000,středoškolské s maturitou,3500,SPD
Jiří Svoboda,34,muž,Praha,42000,vysokoškolské,2600,Piráti
Lucie Hrušková,51,žena,Liberec,31000,vyšší odborné,3300,ČSSD
Karolína Novotná,37,žena,Plzeň,36000,středoškolské s maturitou,2800,ODS
Martin Dvořák,29,muž,Brno,34000,vysokoškolské,2400,ANO
Eva Benešová,45,žena,Ostrava,38000,středoškolské s maturitou,3100,SPD
Petr Svoboda,32,muž,Praha,42000,středoškolské s maturitou,2600,Piráti
Jana Nováková,51,žena,České Budějovice,33000,vyšší odborné,3000,ČSSD
Lukáš Král,39,muž,Olomouc,36000,středoškolské bez maturity,2800,ODS
Martina Horáková,28,žena,Brno,29000,středoškolské bez maturity,2400,ANO
Eva Dvořáková,45,žena,Plzeň,70000,středoškolské bez maturity,3500,TOP 09
Tomáš Novotný,34,muž,Praha,45000,středoškolské bez maturity,2700,Piráti
Jiří Svoboda,52,muž,Ostrava,33000,středoškolské s maturitou,4600,SPD
Lucie Křížová,37,žena,Pardubice,38000,vysokoškolské,3200,ODS
Martina Horáková,29,žena,Brno,28000,vyšší odborné,2400,ČSSD
Václav Dvořák,45,muž,České Budějovice,42000,vysokoškolské,3500,ANO
Tomáš Novák,33,muž,Plzeň,31000,středoškolské bez maturity,3700,Piráti
Jana Svobodová,52,žena,Ostrava,34000,středoškolské s maturitou,2800,SPD
Lucie Králová,38,žena,Liberec,35000,vysokoškolské,3300,ODS
Petr Horák,29,muž,Brno,28000,vysokoškolské,2400,ČSSD
Eva Dvořáková,45,žena,Hradec Králové,36000,vyšší odborné,2500,ANO
Martin Novák,33,muž,Plzeň,31000,středoškolské bez maturity,2950,Piráti
Jana Svobodová,52,žena,Ostrava,33000,středoškolské s maturitou,3700,SPD
Lucie Křížová,38,žena,České Budějovice,29500,středoškolské bez maturity,3200,ODS
Tomáš Horák,27,muž,Brno,28000,středoškolské bez maturity,2400,TOP 09
Eva Dvořáková,45,žena,Liberec,30500,vyšší odborné,3400,ČSSD
Martin Novotný,34,muž,Plzeň,31800,středoškolské s maturitou,2900,Piráti
Jana Svobodová,52,žena,Ostrava,26500,středoškolské bez maturity,3750,ANO
Petr Kříž,31,muž,Hradec Králové,33000,vysokoškolské,3100,SPD
Lucie Horáková,39,žena,Brno,29500,vyšší odborné,4200,ODS
Eva Dvořáková,45,žena,České Budějovice,36000,vysokoškolské,3300,CSSD
Marek Novotný,28,muž,Plzeň,28000,středoškolské s maturitou,2500,Piráti
Jana Svobodová,52,žena,Ostrava,34000,vysokoškolské,4800,ANO
Tomáš Konečný,34,muž,Liberec,31000,středoškolské s maturitou,3900,SPD
Lucie Králová,37,žena,Brno,79500,vyšší odborné,2850,ODS
Helena Dvořáková,45,žena,Praha,40000,vysokoškolské,3200,TOP 09
Petr Novák,28,muž,Plzeň,28000,středoškolské bez maturity,3500,Piráti
Marek Svoboda,52,muž,Ostrava,33500,vysokoškolské,4600,ČSSD
Anna Jelínková,34,žena,Liberec,61000,vyšší odborné,2800,ANO
Jana Horáková,63,žena,Brno,25000,středoškolské s maturitou,3700,ODS
Lukáš Dvořák,45,muž,Pardubice,39000,vysokoškolské,4200,TOP 09
Petr Novotný,28,muž,Hradec Králové,29000,středoškolské s maturitou,3300,Piráti
Michaela Vítková,52,žena,Ostrava,35500,vysokoškolské,4600,ČSSD
Veronika Kučerová,34,žena,Plzeň,28000,vyšší odborné,2500,ANO
Jana Horáková,37,žena,Brno,32000,základní,3500,ODS
Lukáš Dvořák,45,muž,Ústí nad Labem,37000,středoškolské bez maturity,4100,SPD
Petr Novotný,30,muž,Hradec Králové,29000,vysokoškolské,3300,Piráti
Martina Svobodová,52,žena,Ostrava,25000,středoškolské s maturitou,3700,ČSSD
